extension,char,codepoint
Extension A,㘳,U+3633
Extension A,㵬,U+3D6C
Extension A,㡍,U+384D
Extension A,䲕,U+4C95
Extension A,䔭,U+452D
Extension A,㟁,U+37C1
Extension A,䧒,U+49D2
Extension A,䎸,U+43B8
Extension A,䁲,U+4072
Extension A,㟾,U+37FE
Extension A,䊆,U+4286
Extension A,䘆,U+4606
Extension A,㙰,U+3670
Extension A,䓰,U+44F0
Extension A,㡒,U+3852
Extension A,䓟,U+44DF
Extension A,㔮,U+352E
Extension A,㙩,U+3669
Extension A,㦧,U+39A7
Extension A,䋱,U+42F1
Extension A,㔵,U+3535
Extension A,㙧,U+3667
Extension A,㮢,U+3BA2
Extension A,䚮,U+46AE
Extension A,䗂,U+45C2
Extension A,㬗,U+3B17
Extension A,㥭,U+396D
Extension A,㻯,U+3EEF
Extension A,䯂,U+4BC2
Extension A,䤩,U+4929
Extension A,䥴,U+4974
Extension A,䈗,U+4217
Extension A,䦁,U+4981
Extension A,䜫,U+472B
Extension A,㹞,U+3E5E
Extension A,䵋,U+4D4B
Extension A,䰷,U+4C37
Extension A,㛞,U+36DE
Extension A,㯡,U+3BE1
Extension A,䉼,U+427C
Extension A,㙄,U+3644
Extension A,㝭,U+376D
Extension A,䎃,U+4383
Extension A,㗬,U+35EC
Extension A,䑏,U+444F
Extension A,㭍,U+3B4D
Extension A,䉓,U+4253
Extension A,䞧,U+47A7
Extension A,㶘,U+3D98
Extension A,㖿,U+35BF
Extension A,䳕,U+4CD5
Extension A,䨶,U+4A36
Extension A,䅘,U+4158
Extension A,㶎,U+3D8E
Extension A,㺩,U+3EA9
Extension A,䌔,U+4314
Extension A,㖊,U+358A
Extension A,䑸,U+4478
Extension A,㛫,U+36EB
Extension A,䏺,U+43FA
Extension A,䤴,U+4934
Extension A,䎡,U+43A1
Extension A,㦵,U+39B5
Extension A,䀿,U+403F
Extension A,䕘,U+4558
Extension A,㽚,U+3F5A
Extension A,䰧,U+4C27
Extension A,㝥,U+3765
Extension A,䔃,U+4503
Extension A,㑥,U+3465
Extension A,䓨,U+44E8
Extension A,䈀,U+4200
Extension A,㝨,U+3768
Extension A,䆝,U+419D
Extension A,䇈,U+41C8
Extension A,䒔,U+4494
Extension A,㠩,U+3829
Extension A,䂸,U+40B8
Extension A,㮬,U+3BAC
Extension A,䙠,U+4660
Extension A,䐋,U+440B
Extension A,䲴,U+4CB4
Extension A,㺺,U+3EBA
Extension A,㙪,U+366A
Extension A,㤏,U+390F
Extension A,㝃,U+3743
Extension A,㧷,U+39F7
Extension A,䎪,U+43AA
Extension A,㗜,U+35DC
Extension A,㻣,U+3EE3
Extension A,䘻,U+463B
Extension A,䫱,U+4AF1
Extension A,䨯,U+4A2F
Extension A,䓓,U+44D3
Extension A,䮟,U+4B9F
Extension A,㑾,U+347E
Extension A,㠔,U+3814
Extension A,䡙,U+4859
Extension A,䫙,U+4AD9
Extension A,䊈,U+4288
Extension A,䌐,U+4310
Extension A,㥴,U+3974
Extension A,㰈,U+3C08
Extension A,䯹,U+4BF9
Extension A,䄃,U+4103
Extension A,㠺,U+383A
Extension A,䤤,U+4924
Extension A,㥂,U+3942
