Extension A,㝋,liao3,U+374B
Extension A,䒌,ming4,U+448C
Extension A,䅙,hun4,U+4159
Extension A,㰐,"tuo3,duo3",U+3C10
Extension A,㫁,duan4,U+3AC1
Extension A,䫀,gen3,U+4AC0
Extension A,䔁,li4,U+4501
Extension A,㭭,"ba1,bei4,bie1",U+3B6D
Extension A,䴡,li4,U+4D21
Extension A,䥓,ji1,U+4953
Extension A,㪶,hu2,U+3AB6
Extension A,䜾,yin1,U+473E
Extension A,㔞,kuai1,U+351E
Extension A,㜶,fan4,U+3736
Extension A,㤿,yan1,U+393F
Extension A,䢙,bai4,U+4899
Extension A,㜡,cong1,U+3721
Extension A,䑣,chen1,U+4463
Extension A,䆻,qiao4,U+41BB
Extension A,㤐,"tie1,zhan1",U+3910
Extension A,䘉,can2,U+4609
Extension A,㭃,gang1,U+3B43
Extension A,㝸,bian4,U+3778
Extension A,䄅,juan4,U+4105
Extension A,㥌,ju2,U+394C
Extension A,㽅,deng1,U+3F45
Extension A,䝪,shu3,U+476A
Extension A,㷉,"wei4,yu4,yun4",U+3DC9
Extension A,㧴,"wo3,e2",U+39F4
Extension A,䈋,ta4,U+420B
Extension A,䧑,di1,U+49D1
Extension A,䢛,jiong3,U+489B
Extension A,䇩,"yi4,ye4",U+41E9
Extension A,㑟,beng3,U+345F
Extension A,䭪,liang2,U+4B6A
Extension A,㞥,cen2,U+37A5
Extension A,㖅,xu4,U+3585
Extension A,䮓,"zhuo1,chao4",U+4B93
Extension A,㢘,lian2,U+3898
Extension A,䯆,yi4,U+4BC6
Extension A,㽙,yun3,U+3F59
Extension A,㟱,yao3,U+37F1
Extension A,㻫,bi4,U+3EEB
Extension A,㘬,ao4,U+362C
Extension A,䦌,chu4,U+498C
Extension A,㸍,xi4,U+3E0D
Extension A,㭦,tuo2,U+3B66
Extension A,㡻,"liao4,liao2",U+387B
Extension A,㻴,,U+3EF4
Extension A,㪰,zhai1,U+3AB0
Extension A,㩖,qiang2,U+3A56
Extension A,㨀,bing3,U+3A00
Extension A,㺬,gong3,U+3EAC
Extension A,㳥,long4,U+3CE5
Extension A,㹊,yue4,U+3E4A
Extension A,㦄,ma2,U+3984
Extension A,䵝,yi4,U+4D5D
Extension A,䌎,lue4,U+430E
Extension A,㱒,he1,U+3C52
Extension A,䴂,xiang4,U+4D02
Extension A,䞙,za2,U+4799
Extension A,㭿,ang2,U+3B7F
Extension A,䨱,fu4,U+4A31
Extension A,䃭,gan3,U+40ED
Extension A,䒋,yang3,U+448B
Extension A,䖘,tu2,U+4598
Extension A,㨫,lan3,U+3A2B
Extension A,㫹,shu4,U+3AF9
Extension A,㛱,"wei3,wei1",U+36F1
Extension A,㑼,lüe4,U+347C
Extension A,㲴,zhong4,U+3CB4
Extension A,㬲,tian1,U+3B32
Extension A,䳆,bai2,U+4CC6
Extension A,䃽,gui3,U+40FD
Extension A,䅎,you3,U+414E
Extension A,㢓,zhang4,U+3893
Extension A,㹡,xuan2,U+3E61
Extension A,䖊,yi4,U+458A
Extension A,㾂,hai1,U+3F82
Extension A,㜠,cui1,U+3720
Extension A,䤻,tuo2,U+493B
Extension A,㨳,"ji4,ji1",U+3A33
Extension A,㝌,jiu4,U+374C
Extension A,䫏,qi1,U+4ACF
Extension A,䢦,shuai4,U+48A6
Extension A,㵝,yi4,U+3D5D
Extension A,㚒,shan3,U+3692
Extension A,㓵,e4,U+34F5
Extension A,㖄,zhou1,U+3584
Extension A,䮼,lin2,U+4BBC
Extension A,䣐,ying1,U+48D0
Extension A,㛮,sao3,U+36EE
Extension A,㢁,chi3,U+3881
Extension A,㟩,min2,U+37E9
Extension A,䣊,dang3,U+48CA
Extension A,㖞,wai1,U+359E
Extension A,㓭,she2,U+34ED
Extension A,㪣,"xiao1,qiao1",U+3AA3
Extension A,㙾,xue2,U+367E
Extension A,㑽,tang2,U+347D
Extension A,䴲,mo4,U+4D32
Extension A,䶁,ta4,U+4D81
Extension A,䕗,bi4,U+4557
Extension A,㠮,gang1,U+382E
Extension A,䥎,chun2,U+494E
Extension A,䛑,mi4,U+46D1
Extension A,䢽,"xiang4,hang4",U+48BD
Extension A,䄰,ya2,U+4130
Extension A,䚐,ji4,U+4690
Extension A,䣋,cai3,U+48CB
Extension A,䔑,xie2,U+4511
Extension A,䵄,feng1,U+4D44
Extension A,㺄,yu3,U+3E84
Extension A,䓊,"wu2,yu2",U+44CA
Extension A,㷮,zao1,U+3DEE
Extension A,㚏,gao3,U+368F
Extension A,䇾,yan2,U+41FE
Extension A,㔣,lei2,U+3523
Extension A,㨲,ce4,U+3A32
Extension A,㶭,you3,U+3DAD
Extension A,㚝,zhui1,U+369D
Extension A,䊸,yu1,U+42B8
Extension A,㷫,qing3,U+3DEB
Extension A,䟥,meng2,U+47E5
Extension A,䫅,san4,U+4AC5
Extension A,㢛,"yan4,qian1",U+389B
Extension A,㳳,,U+3CF3
Extension A,䟫,cheng1,U+47EB
Extension A,㱀,"chi3,chuai4,chuo4",U+3C40
Extension A,㪾,"luo4,ge2",U+3ABE
Extension A,䝵,bu4,U+4775
Extension A,䞟,pai1,U+479F
Extension A,㙑,yu3,U+3651
Extension A,䓫,qi2,U+44EB
Extension A,䈓,ge2,U+4213
Extension A,䬞,tao2,U+4B1E
Extension A,㲊,rui4,U+3C8A
Extension A,㼈,luo2,U+3F08
Extension A,䡐,tuo2,U+4850
Extension A,䮵,tong2,U+4BB5
Extension A,㻈,gou4,U+3EC8
Extension A,㭪,"fu4,pu1,fu1",U+3B6A
Extension A,㳢,,U+3CE2
Extension A,㧽,gu4,U+39FD
Extension A,㭻,tang2,U+3B7B
Extension A,㬐,"jin4,zi1",U+3B10
Extension A,䐌,tian3,U+440C
Extension A,㢴,xi1,U+38B4
Extension A,㮼,"shan4,shan1",U+3BBC
Extension A,㦒,li2,U+3992
Extension A,㠱,"ji4,qi3",U+3831
Extension A,㕣,yan3,U+3563
Extension A,䂾,lai3,U+40BE
Extension A,䬽,"shui4,dui4",U+4B3D
Extension A,䂫,"hang1,hong2",U+40AB
Extension A,㗁,e4,U+35C1
Extension A,㞾,"ni2,ni4",U+37BE
Extension A,䁍,"qia4,kan1",U+404D
Extension A,㣣,shan4,U+38E3
Extension A,㩳,song3,U+3A73
Extension A,䠍,"qia2,xia1",U+480D
Extension A,䮯,ao4,U+4BAF
Extension A,䥖,tian2,U+4956
Extension A,䭭,shou3,U+4B6D
Extension A,䒶,tian1,U+44B6
Extension A,㙱,hao4,U+3671
Extension A,㮴,sou1,U+3BB4
Extension A,䕦,ying2,U+4566
Extension A,䳫,kui2,U+4CEB
Extension A,䌆,gui4,U+4306
Extension A,㶢,guang1,U+3DA2
Extension A,䋵,"yi4,ye4",U+42F5
Extension A,㨖,zhi4,U+3A16
Extension A,㸲,zuo2,U+3E32
Extension A,㖺,chun3,U+35BA
Extension A,㴧,xi1,U+3D27
Extension A,㠁,cen1,U+3801
Extension A,䯄,gua1,U+4BC4
Extension A,㒷,"xing1,xing4,xin4",U+34B7
Extension A,䠀,"chang3,tang1,tang4",U+4800
Extension A,䧱,jiu1,U+49F1
Extension A,䱋,gong3,U+4C4B
Extension A,䃤,su4,U+40E4
Extension A,㦱,wo3,U+39B1
Extension A,䉄,leng2,U+4244
Extension A,䖱,kuang1,U+45B1
Extension A,㶷,xu1,U+3DB7
Extension A,㟈,qiu2,U+37C8
Extension A,㙋,qi2,U+364B
Extension A,㧢,yin1,U+39E2
Extension A,㒿,li2,U+34BF
Extension A,㞪,nao2,U+37AA
Extension A,䢱,du2,U+48B1
Extension A,䓖,qiong2,U+44D6
Extension A,䠚,"wa4,wa3",U+481A
Extension A,䑓,tai2,U+4453
Extension A,㳵,ji4,U+3CF5
Extension A,㤺,huang3,U+393A
Extension A,㪆,di3,U+3A86
Extension A,㡄,xun2,U+3844
Extension A,㦎,huo4,U+398E
Extension A,㰋,pin2,U+3C0B
Extension A,㰔,xie4,U+3C14
Extension A,䒉,wu3,U+4489
Extension A,㦩,yin3,U+39A9
Extension A,㭡,"xi4,xin4",U+3B61
Extension A,㸯,ke1,U+3E2F
Extension A,䱃,zhi4,U+4C43
Extension A,㚠,xiao2,U+36A0
Extension A,㾖,li3,U+3F96
Extension A,㦬,luo3,U+39AC
Extension A,䀤,mao4,U+4024
Extension A,㛏,qiu2,U+36CF
Extension A,㚋,diao1,U+368B
Extension A,䝺,"guan4,wan1",U+477A
Extension A,㐫,xiong1,U+342B
Extension A,䈸,hu2,U+4238
Extension A,㤦,li4,U+3926
Extension A,㦫,za1,U+39AB
Extension A,䙽,xie2,U+467D
Extension A,䎀,xue4,U+4380
Extension A,䆳,sui4,U+41B3
Extension A,㒓,ta4,U+3493
Extension A,㧚,wa3,U+39DA
Extension A,䅍,ting3,U+414D
Extension A,㡸,"zha4,zha3,cha2",U+3878
Extension A,㙍,duo1,U+364D
Extension A,䚯,tao3,U+46AF
Extension A,䯕,ting1,U+4BD5
Extension A,㨍,bang1,U+3A0D
Extension A,䯢,"mo2,mo3",U+4BE2
Extension A,䯫,hao4,U+4BEB
Extension A,㰭,xu1,U+3C2D
Extension A,㲑,,U+3C91
Extension A,䡫,peng2,U+486B
Extension A,䎚,hui4,U+439A
Extension A,㟙,ze2,U+37D9
Extension A,㻩,lian2,U+3EE9
Extension A,䰚,wen2,U+4C1A
Extension A,㳕,lan2,U+3CD5
Extension A,䚉,qi4,U+4689
Extension A,㦊,hua2,U+398A
Extension A,㚟,chuo4,U+369F
Extension A,㮅,zhui1,U+3B85
Extension A,䣜,cuo2,U+48DC
Extension A,䧉,li3,U+49C9
Extension A,䳪,tuan2,U+4CEA
Extension A,㦷,yong3,U+39B7
Extension A,㾦,pei1,U+3FA6
Extension A,㷸,ye4,U+3DF8
Extension A,䢯,"lin2,lin4",U+48AF
Extension A,㥔,yu4,U+3954
Extension A,䭼,qi2,U+4B7C
Extension A,㨾,yang4,U+3A3E
Extension A,䢀,qi4,U+4880
Extension A,䡃,li4,U+4843
Extension A,㫘,mi4,U+3AD8
Extension A,䰙,yi3,U+4C19
Extension A,䳙,xing3,U+4CD9
Extension A,㖮,lun2,U+35AE
Extension A,㽀,zheng4,U+3F40
Extension A,䡮,zong1,U+486E
Extension A,㛐,sao3,U+36D0
Extension A,㾃,tuo2,U+3F83
Extension A,㼗,ting2,U+3F17
Extension A,㐮,xiang1,U+342E
Extension A,䫈,"cen2,zhen4",U+4AC8
Extension A,㧦,"xuan4,hong1",U+39E6
Extension A,㤤,"yu2,yu3",U+3924
Extension A,䇋,hai4,U+41CB
Extension A,䈠,"huan3,yuan4",U+4220
Extension A,䣎,zi1,U+48CE
Extension A,䳞,beng3,U+4CDE
Extension A,㺜,nong2,U+3E9C
Extension A,㦻,xi2,U+39BB
Extension A,㒈,han4,U+3488
Extension A,㴴,"chen2,dan1,tan2,zhan4,jian1,yin3,chen3,yin2,shen4",U+3D34
Extension A,㬣,"dui4,dai4",U+3B23
Extension A,䔬,yi4,U+452C
Extension A,㠪,ju4,U+382A
Extension A,㶻,feng1,U+3DBB
Extension A,䴔,"jiao1,xiao1",U+4D14
Extension A,㮐,"sheng3,si4",U+3B90
Extension A,㵾,"jing4,qing4",U+3D7E
Extension A,㥙,,U+3959
Extension A,䓝,meng4,U+44DD
Extension A,䕷,mi2,U+4577
Extension A,䙆,kui4,U+4646
Extension A,㧋,xuan3,U+39CB
Extension A,䱕,mou2,U+4C55
Extension A,㱈,jin4,U+3C48
Extension A,㴁,yi4,U+3D01
Extension A,㘫,jing3,U+362B
Extension A,䦹,shi2,U+49B9
Extension A,䖙,ti1,U+4599
Extension A,㸫,"qian2,jian1",U+3E2B
Extension A,䦽,xu4,U+49BD
Extension A,䨓,lei2,U+4A13
Extension A,㡘,lian2,U+3858
Extension A,㳗,"chai4,cha4",U+3CD7
Extension A,㮳,zhen4,U+3BB3
Extension A,㤌,gan1,U+390C
Extension A,㒕,yang1,U+3495
Extension A,㙕,kuai4,U+3655
Extension A,䋷,mou2,U+42F7
Extension A,㫳,chen2,U+3AF3
Extension A,㔝,"liang3,liang2",U+351D
Extension A,㪇,xian4,U+3A87
Extension A,㩁,que4,U+3A41
Extension A,䲽,"shi2,diao3",U+4CBD
Extension A,䳿,ran2,U+4CFF
Extension A,㟸,gao1,U+37F8
Extension A,䃮,"da2,ta3",U+40EE
Extension A,䚒,"chuang2,zhuang4",U+4692
Extension A,㥡,chi4,U+3961
Extension A,㷪,juan3,U+3DEA
Extension A,䓦,dian3,U+44E6
Extension A,㐖,xie2,U+3416
Extension A,䒾,yi1,U+44BE
Extension A,䃣,hui3,U+40E3
Extension A,㤯,jiong3,U+392F
Extension A,㰰,"xia4,qie4,he4",U+3C30
Extension A,㿯,da2,U+3FEF
Extension A,䄻,tao2,U+413B
Extension A,䎽,"wen2,wen4",U+43BD
Extension A,㵶,"jie2,zuo1",U+3D76
Extension A,㴻,"shu4,zhu4",U+3D3B
Extension A,㭔,lu2,U+3B54
Extension A,䡞,ju2,U+485E
Extension A,䟈,zhi2,U+47C8
Extension A,㨯,kuo4,U+3A2F
Extension A,㦛,yu3,U+399B
Extension A,㡱,jiu3,U+3871
Extension A,䅺,"biao1,miao3",U+417A
Extension A,㡽,zhao4,U+387D
Extension A,㩠,"ao1,piao3,pou2",U+3A60
Extension A,䧓,zhou1,U+49D3
Extension A,㟋,dui4,U+37CB
Extension A,䥈,mu3,U+4948
Extension A,㙆,,U+3646
Extension A,䱚,lu4,U+4C5A
Extension A,㨞,su4,U+3A1E
Extension A,䞗,"cai1,chai1",U+4797
Extension A,㶾,"piao4,piao1",U+3DBE
Extension A,㛲,fa4,U+36F2
Extension A,㚃,yun1,U+3683
Extension A,㷼,yan4,U+3DFC
Extension A,㜦,xin2,U+3726
Extension A,㻆,xuan4,U+3EC6
Extension A,䅚,quan3,U+415A
Extension A,㳘,chong1,U+3CD8
Extension A,㧊,"po1,ba2",U+39CA
Extension A,䔼,"se4,ze2",U+453C
Extension A,㔦,yang3,U+3526
Extension A,䪚,"da1,ta4",U+4A9A
Extension A,㖨,lu4,U+35A8
Extension A,㥁,de2,U+3941
Extension A,䙔,ou1,U+4654
Extension A,㵋,mi4,U+3D4B
Extension A,㼯,dong4,U+3F2F
Extension A,㲿,wang3,U+3CBF
Extension A,䛻,you3,U+46FB
Extension A,䜰,hao1,U+4730
Extension A,㚺,yun4,U+36BA
Extension A,䇓,xu1,U+41D3
Extension A,䜉,"chi1,lai4",U+4709
Extension A,䍡,lu4,U+4361
Extension A,㚓,lai3,U+3693
Extension A,㾧,"kuo4,luo3",U+3FA7
Extension A,㑚,"nuo2,na4",U+345A
Extension A,䅓,ju3,U+4153
Extension A,䤉,mi4,U+4909
Extension A,㦐,ni4,U+3990
Extension A,㞫,zou3,U+37AB
Extension A,㺰,shi1,U+3EB0
Extension A,㷞,,U+3DDE
Extension A,䌩,mie4,U+4329
Extension A,䟱,ji4,U+47F1
Extension A,䜚,ta4,U+471A
Extension A,䰵,zi1,U+4C35
Extension A,䒘,sui1,U+4498
Extension A,㙤,xia4,U+3664
Extension A,䳓,lao3,U+4CD3
Extension A,㘳,qiu1,U+3633
Extension A,㵬,ying2,U+3D6C
Extension A,㡍,,U+384D
Extension A,䲕,pu1,U+4C95
Extension A,䔭,ning4,U+452D
Extension A,㟁,an4,U+37C1
Extension A,䧒,lai2,U+49D2
Extension A,䎸,wu4,U+43B8
Extension A,䁲,mai2,U+4072
Extension A,㟾,yong1,U+37FE
Extension A,䊆,"jiu4,qiu3",U+4286
Extension A,䘆,xian3,U+4606
Extension A,㙰,xie4,U+3670
Extension A,䓰,yin1,U+44F0
Extension A,㡒,zhun1,U+3852
Extension A,䓟,"zhou1,lie4",U+44DF
Extension A,㔮,nuo2,U+352E
Extension A,㙩,liao2,U+3669
Extension A,㦧,can3,U+39A7
Extension A,䋱,lai2,U+42F1
Extension A,㔵,xuan3,U+3535
Extension A,㙧,liu4,U+3667
Extension A,㮢,hou2,U+3BA2
Extension A,䚮,reng2,U+46AE
Extension A,䗂,hu3,U+45C2
Extension A,㬗,xian4,U+3B17
Extension A,㥭,tai4,U+396D
Extension A,㻯,tu1,U+3EEF
Extension A,䯂,"shen1,ji2",U+4BC2
Extension A,䤩,cha2,U+4929
Extension A,䥴,juan1,U+4974
Extension A,䈗,suo3,U+4217
Extension A,䦁,,U+4981
Extension A,䜫,hong2,U+472B
Extension A,㹞,yin2,U+3E5E
Extension A,䵋,wei3,U+4D4B
Extension A,䰷,bang4,U+4C37
Extension A,㛞,long4,U+36DE
Extension A,㯡,"pao4,pao2",U+3BE1
Extension A,䉼,liao4,U+427C
Extension A,㙄,bi4,U+3644
Extension A,㝭,xing3,U+376D
Extension A,䎃,ran3,U+4383
Extension A,㗬,zha1,U+35EC
Extension A,䑏,"huan1,quan2",U+444F
Extension A,㭍,qi1,U+3B4D
Extension A,䉓,luo4,U+4253
Extension A,䞧,hou4,U+47A7
Extension A,㶘,dian4,U+3D98
Extension A,㖿,"xie2,ye2",U+35BF
Extension A,䳕,fu2,U+4CD5
Extension A,䨶,yun3,U+4A36
Extension A,䅘,lai2,U+4158
Extension A,㶎,huan2,U+3D8E
Extension A,㺩,"jiu4,qiu2",U+3EA9
Extension A,䌔,ou1,U+4314
Extension A,㖊,xun2,U+358A
Extension A,䑸,zong1,U+4478
Extension A,㛫,xi1,U+36EB
Extension A,䏺,"pang1,pang4",U+43FA
Extension A,䤴,han2,U+4934
Extension A,䎡,ruan3,U+43A1
Extension A,㦵,zhu1,U+39B5
Extension A,䀿,chi4,U+403F
Extension A,䕘,"ling2,ling3",U+4558
Extension A,㽚,chi4,U+3F5A
Extension A,䰧,hu1,U+4C27
Extension A,㝥,"mi3,mi2",U+3765
Extension A,䔃,zu3,U+4503
Extension A,㑥,yi4,U+3465
Extension A,䓨,ying1,U+44E8
Extension A,䈀,san1,U+4200
Extension A,㝨,"huan2,yuan2",U+3768
Extension A,䆝,"xue4,zhu2",U+419D
Extension A,䇈,hua4,U+41C8
Extension A,䒔,bai4,U+4494
Extension A,㠩,huang1,U+3829
Extension A,䂸,guo2,U+40B8
Extension A,㮬,weng1,U+3BAC
Extension A,䙠,jue2,U+4660
Extension A,䐋,cong1,U+440B
Extension A,䲴,zhen4,U+4CB4
Extension A,㺺,mao4,U+3EBA
Extension A,㙪,yi4,U+366A
Extension A,㤏,tong2,U+390F
Extension A,㝃,mian3,U+3743
Extension A,㧷,tun4,U+39F7
Extension A,䎪,ne4,U+43AA
Extension A,㗜,xiu4,U+35DC
Extension A,㻣,kan1,U+3EE3
Extension A,䘻,yu4,U+463B
Extension A,䫱,ru2,U+4AF1
Extension A,䨯,zhen4,U+4A2F
Extension A,䓓,"chou2,zhou4",U+44D3
Extension A,䮟,"sou1,song3",U+4B9F
Extension A,㑾,yao2,U+347E
Extension A,㠔,bai4,U+3814
Extension A,䡙,lang2,U+4859
Extension A,䫙,sang3,U+4AD9
Extension A,䊈,mei2,U+4288
Extension A,䌐,mi4,U+4310
Extension A,㥴,"yi2,ti2",U+3974
